Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Host_Country,Tournament_Decade,Goal_Difference,Match_Outcome,Home_Win,Away_Win,Draw,Winning_Margin,Stage_Normalized,Is_Knockout,Goals_Per_Match,Tournament_Number,Is_Host_Match,Went_To_Extra_Time,Decided_On_Penalties,Went_To_Shootout,Match_Importance,Home_Continent,Away_Continent,Host_Continent
1934,1934-05-27 16:30:00,Group Stage,Littorio,Trieste ,Czechoslovakia,2.0,1.0,Romania,,Italy,1930,1.0,Home Win,True,False,False,Narrow,Group Stage,False,3.0,2,False,False,False,False,1,Europe,Europe,Europe
1934,1934-05-31 16:30:00,Quarter-finals,Stadio Benito Mussolini,Turin ,Czechoslovakia,3.0,2.0,Switzerland,,Italy,1930,1.0,Home Win,True,False,False,Narrow,Quarter-finals,True,5.0,2,False,False,False,False,4,Europe,Europe,Europe
1934,1934-05-31 16:30:00,Quarter-finals,San Siro,Milan ,Germany,2.0,1.0,Sweden,,Italy,1930,1.0,Home Win,True,False,False,Narrow,Quarter-finals,True,3.0,2,False,False,False,False,4,Europe,Europe,Europe
1934,1934-05-31 16:30:00,Quarter-finals,Giovanni Berta,Florence ,Italy,1.0,1.0,Spain,,Italy,1930,0.0,Draw,False,False,True,,Quarter-finals,True,2.0,2,True,False,False,False,4,Europe,Europe,Europe
1934,1934-05-31 16:30:00,Quarter-finals,Littorale,Bologna ,Austria,2.0,1.0,Hungary,,Italy,1930,1.0,Home Win,True,False,False,Narrow,Quarter-finals,True,3.0,2,False,False,False,False,4,Europe,Europe,Europe
1934,1934-06-01 16:30:00,Quarter-finals,Giovanni Berta,Florence ,Italy,1.0,0.0,Spain,,Italy,1930,1.0,Home Win,True,False,False,Narrow,Quarter-finals,True,1.0,2,True,False,False,False,4,Europe,Europe,Europe
1934,1934-06-03 16:30:00,Semi-finals,San Siro,Milan ,Italy,1.0,0.0,Austria,,Italy,1930,1.0,Home Win,True,False,False,Narrow,Semi-finals,True,1.0,2,True,False,False,False,6,Europe,Europe,Europe
1934,1934-06-03 16:30:00,Semi-finals,Nazionale PNF,Rome ,Czechoslovakia,3.0,1.0,Germany,,Italy,1930,2.0,Home Win,True,False,False,Clear,Semi-finals,True,4.0,2,False,False,False,False,6,Europe,Europe,Europe
1934,1934-06-07 18:00:00,Third Place Match,Giorgio Ascarelli,Naples ,Germany,3.0,2.0,Austria,,Italy,1930,1.0,Home Win,True,False,False,Narrow,Third Place Match,True,5.0,2,False,False,False,False,5,Europe,Europe,Europe
1934,1934-06-10 17:30:00,Final,Nazionale PNF,Rome ,Italy,2.0,1.0,Czechoslovakia,Italy win after extra time,Italy,1930,1.0,Home Win,True,False,False,Narrow,Final,True,3.0,2,True,True,False,False,7,Europe,Europe,Europe
1938,1938-06-04 17:00:00,Group Stage,Parc des Princes,Paris ,Switzerland,1.0,1.0,Germany,,France,1930,0.0,Draw,False,False,True,,Group Stage,False,2.0,3,False,False,False,False,1,Europe,Europe,Europe
1938,1938-06-05 17:00:00,Group Stage,Velodrome Municipale,Reims ,Hungary,6.0,0.0,Dutch East Indies,,France,1930,6.0,Home Win,True,False,False,Rout,Group Stage,False,6.0,3,False,False,False,False,1,Europe,Asia,Europe
1938,1938-06-05 17:00:00,Group Stage,Stade Olympique,Colombes ,France,3.0,1.0,Belgium,,France,1930,2.0,Home Win,True,False,False,Clear,Group Stage,False,4.0,3,True,False,False,False,1,Europe,Europe,Europe
1938,1938-06-05 17:00:00,Group Stage,Stade Municipal,Toulouse ,Cuba,3.0,3.0,Romania,,France,1930,0.0,Draw,False,False,True,,Group Stage,False,6.0,3,False,False,False,False,1,North America,Europe,Europe
1938,1938-06-05 17:00:00,Group Stage,Stade V�lodrome,Marseilles ,Italy,2.0,1.0,Norway,Italy win after extra time,France,1930,1.0,Home Win,True,False,False,Narrow,Group Stage,False,3.0,3,False,True,False,False,1,Europe,Europe,Europe
1938,1938-06-05 17:30:00,Group Stage,Stade de la Meinau,Strasbourg ,Brazil,6.0,5.0,Poland,Brazil win after extra time,France,1930,1.0,Home Win,True,False,False,Narrow,Group Stage,False,11.0,3,False,True,False,False,1,South America,Europe,Europe
1938,1938-06-05 18:30:00,Group Stage,Cavee Verte,Le Havre ,Czechoslovakia,3.0,0.0,Netherlands,Czechoslovakia win after extra time,France,1930,3.0,Home Win,True,False,False,Rout,Group Stage,False,3.0,3,False,True,False,False,1,Europe,Europe,Europe
1938,1938-06-09 18:00:00,Group Stage,Stade Municipal,Toulouse ,Cuba,2.0,1.0,Romania,,France,1930,1.0,Home Win,True,False,False,Narrow,Group Stage,False,3.0,3,False,False,False,False,1,North America,Europe,Europe
1938,1938-06-09 18:00:00,Group Stage,Parc des Princes,Paris ,Switzerland,4.0,2.0,Germany,,France,1930,2.0,Home Win,True,False,False,Clear,Group Stage,False,6.0,3,False,False,False,False,1,Europe,Europe,Europe
1938,1938-06-12 17:00:00,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,1.0,1.0,Czechoslovakia,,France,1930,0.0,Draw,False,False,True,,Quarter-finals,True,2.0,3,False,False,False,False,4,South America,Europe,Europe
1938,1938-06-12 17:00:00,Quarter-finals,Victor Boucquey,Lille ,Hungary,2.0,0.0,Switzerland,,France,1930,2.0,Home Win,True,False,False,Clear,Quarter-finals,True,2.0,3,False,False,False,False,4,Europe,Europe,Europe
1938,1938-06-12 17:00:00,Quarter-finals,Fort Carree,Antibes ,Sweden,8.0,0.0,Cuba,,France,1930,8.0,Home Win,True,False,False,Rout,Quarter-finals,True,8.0,3,False,False,False,False,4,Europe,North America,Europe
1938,1938-06-12 17:00:00,Quarter-finals,Stade Olympique,Colombes ,Italy,3.0,1.0,France,,France,1930,2.0,Home Win,True,False,False,Clear,Quarter-finals,True,4.0,3,True,False,False,False,4,Europe,Europe,Europe
1938,1938-06-14 18:00:00,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,2.0,1.0,Czechoslovakia,,France,1930,1.0,Home Win,True,False,False,Narrow,Quarter-finals,True,3.0,3,False,False,False,False,4,South America,Europe,Europe
1938,1938-06-16 18:00:00,Semi-finals,Parc des Princes,Paris ,Hungary,5.0,1.0,Sweden,,France,1930,4.0,Home Win,True,False,False,Rout,Semi-finals,True,6.0,3,False,False,False,False,6,Europe,Europe,Europe
1938,1938-06-16 18:00:00,Semi-finals,Stade V�lodrome,Marseilles ,Italy,2.0,1.0,Brazil,,France,1930,1.0,Home Win,True,False,False,Narrow,Semi-finals,True,3.0,3,False,False,False,False,6,Europe,South America,Europe
1938,1938-06-19 17:00:00,Third Place Match,Stade du Parc Lescure,Bordeaux ,Brazil,4.0,2.0,Sweden,,France,1930,2.0,Home Win,True,False,False,Clear,Third Place Match,True,6.0,3,False,False,False,False,5,South America,Europe,Europe
1938,1938-06-19 17:00:00,Final,Stade Olympique,Colombes ,Italy,4.0,2.0,Hungary,,France,1930,2.0,Home Win,True,False,False,Clear,Final,True,6.0,3,False,False,False,False,7,Europe,Europe,Europe
1950,1950-06-24 15:00:00,Group Stage,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,4.0,0.0,Mexico,,Brazil,1950,4.0,Home Win,True,False,False,Rout,Group Stage,False,4.0,4,True,False,False,False,1,South America,North America,South America
1950,1950-06-25 15:00:00,Group Stage,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,England,2.0,0.0,Chile,,Brazil,1950,2.0,Home Win,True,False,False,Clear,Group Stage,False,2.0,4,False,False,False,False,1,Europe,South America,South America
1950,1950-06-25 15:00:00,Group Stage,Durival de Brito,Curitiba ,Spain,3.0,1.0,United States,,Brazil,1950,2.0,Home Win,True,False,False,Clear,Group Stage,False,4.0,4,False,False,False,False,1,Europe,North America,South America
